tag,version,cve,function
OpenSSL_0_9_1c,openssl-0.9.1c,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_1c,openssl-0.9.1c,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_1c,openssl-0.9.1c,CVE-2021-4044,SSL_connect
OpenSSL_0_9_1c,openssl-0.9.1c,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_1c,openssl-0.9.1c,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_2b,openssl-0.9.2b,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_2b,openssl-0.9.2b,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_2b,openssl-0.9.2b,CVE-2021-4044,SSL_connect
OpenSSL_0_9_2b,openssl-0.9.2b,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_2b,openssl-0.9.2b,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_3,openssl-0.9.3,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_3,openssl-0.9.3,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_3,openssl-0.9.3,CVE-2021-4044,SSL_connect
OpenSSL_0_9_3,openssl-0.9.3,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_3,openssl-0.9.3,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_3a,openssl-0.9.3a,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_3a,openssl-0.9.3a,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_3a,openssl-0.9.3a,CVE-2021-4044,SSL_connect
OpenSSL_0_9_3a,openssl-0.9.3a,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_3a,openssl-0.9.3a,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_3beta1,openssl-0.9.3beta1,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_3beta1,openssl-0.9.3beta1,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_3beta1,openssl-0.9.3beta1,CVE-2021-4044,SSL_connect
OpenSSL_0_9_3beta1,openssl-0.9.3beta1,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_3beta1,openssl-0.9.3beta1,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_3beta2,openssl-0.9.3beta2,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_3beta2,openssl-0.9.3beta2,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_3beta2,openssl-0.9.3beta2,CVE-2021-4044,SSL_connect
OpenSSL_0_9_3beta2,openssl-0.9.3beta2,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_3beta2,openssl-0.9.3beta2,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_4,openssl-0.9.4,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_4,openssl-0.9.4,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_4,openssl-0.9.4,CVE-2021-4044,SSL_connect
OpenSSL_0_9_4,openssl-0.9.4,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_4,openssl-0.9.4,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_5,openssl-0.9.5,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_5,openssl-0.9.5,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_5,openssl-0.9.5,CVE-2021-4044,SSL_connect
OpenSSL_0_9_5,openssl-0.9.5,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_5,openssl-0.9.5,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_5a,openssl-0.9.5a,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_5a,openssl-0.9.5a,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_5a,openssl-0.9.5a,CVE-2021-4044,SSL_connect
OpenSSL_0_9_5a,openssl-0.9.5a,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_5a,openssl-0.9.5a,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_5a-beta1,openssl-0.9.5a-beta1,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_5a-beta1,openssl-0.9.5a-beta1,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_5a-beta1,openssl-0.9.5a-beta1,CVE-2021-4044,SSL_connect
OpenSSL_0_9_5a-beta1,openssl-0.9.5a-beta1,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_5a-beta1,openssl-0.9.5a-beta1,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_5a-beta2,openssl-0.9.5a-beta2,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_5a-beta2,openssl-0.9.5a-beta2,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_5a-beta2,openssl-0.9.5a-beta2,CVE-2021-4044,SSL_connect
OpenSSL_0_9_5a-beta2,openssl-0.9.5a-beta2,CVE-2021-4044,SSL_get_error
OpenSSL_0_9_5a-beta2,openssl-0.9.5a-beta2,CVE-2021-4044,SSL_do_handshake
OpenSSL_0_9_5beta1,openssl-0.9.5beta1,CVE-2021-4044,X509_verify_cert
OpenSSL_0_9_5beta1,openssl-0.9.5beta1,CVE-2021-4044,SSL_CTX_set_cert_verify_callback
OpenSSL_0_9_5beta1,openssl-0.9.5beta1,CVE-2021-4044,SSL_connect
